Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.230423351451275,-0.093531973488492,-0.0325498237805957,0,0,0,0.140972114032924,0.000172858210708355,-9.20364029031996E-08,-1.60625193941858E-06,0.000238776777529016,-1.46977761927676E-07,0.000396584509314805,0,0,0,0,0,0,package://chyPapa3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa3/meshes/base_link.STL,,chyBody2-1/chy中心架2012-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Link_shoulder_re,-0.0472607836346183,0.054949875977015,0.0515172290671969,0,0,0,0.100243096491449,2.42612831517242E-05,-1.86088562719441E-06,-5.53068094423268E-07,3.36320922407044E-05,5.0394362959962E-06,2.70772599440709E-05,0,0,0,0,0,0,package://chyPapa3/meshes/Link_shoulder_re.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_shoulder_re.STL,,chyShoulderRe2-6,,基准轴re,Joint_shoulder_body_re,revolute,-0.31205,-0.21515,-0.11184,1.1323,0.12088,3.0913,base_link,0,0,0,100,0,-0.5,1.5,,,,,,,,0
Link_arm_re,-0.0887176959583127,-9.78664314618682E-06,0.0311733663885135,0,0,0,0.142407450848651,2.75635595359299E-05,-5.7058093019094E-08,8.77069719142018E-06,0.000176021146099794,-3.20645360768237E-09,0.000168884898886195,0,0,0,0,0,0,package://chyPapa3/meshes/Link_arm_re.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_arm_re.STL,,chyArm11SLDPRT-2,,基准轴Armre,Joint_arm_shoulder_re,revolute,-0.0030423,0.052147,0.033994,-1.5493,0.010135,1.6433,Link_shoulder_re,0,0,-1,100,0,-1.5,1.5,,,,,,,,0
Link_hand_re,0.0526382833749994,-5.55111512312578E-17,-0.00765118185521418,0,0,0,0.0420735853495988,4.63824751744344E-06,1.27054942088145E-20,1.99944788512831E-06,2.67304876167845E-05,1.12249091126055E-21,2.83575795096436E-05,0,0,0,0,0,0,package://chyPapa3/meshes/Link_hand_re.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_hand_re.STL,,chyHand-3,Origin_Joint_hand_arm_re,基准轴hand_re,Joint_hand_arm_re,revolute,-0.13,0,0,-3.1416,0,-3.0781,Link_arm_re,0,0,1,100,0,-1.5,1.5,,,,,,,,0
Link_shoulder_lf,0.00880702961281377,-0.00777736905669588,-0.0119978154350034,0,0,0,0.100243096491449,2.42612831517242E-05,-1.86088562719441E-06,-5.53068094423263E-07,3.36320922407043E-05,5.0394362959962E-06,2.70772599440709E-05,0,0,0,0,0,0,package://chyPapa3/meshes/Link_shoulder_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_shoulder_lf.STL,,chyShoulderRe2-5,,基准轴lf,Joint_shoulder_body_lf,revolute,-0.19592,0,-0.021664,1.1344,0.0799,-0.050067,base_link,0.049886,-0.41855,0.90682,100,0,-0.5,1.5,,,,,,,,0
Link_arm_lf,-0.0887176959583125,-9.78664314662397E-06,-0.0215728915869191,0,0,0,0.142407450848651,2.75635595359299E-05,-5.70580930190347E-08,8.77069719142033E-06,0.000176021146099794,-3.20645360767699E-09,0.000168884898886195,0,0,0,0,0,0,package://chyPapa3/meshes/Link_arm_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_arm_lf.STL,,chyArm11SLDPRT-4,Origin_Joint_arm_shoulder_lf3,基准轴Armlf,Joint_arm_shoulder_lf,revolute,0.00042917,-0.014389,-0.028385,-1.549,-0.14452,1.64,Link_shoulder_lf,0,0,-1,100,0,-1.5,1.5,,,,,,,,0
Link_hand_lf,0.0526382833749994,5.55111512312578E-17,0.0110840995819475,0,0,0,0.0420735853495988,4.63824751744343E-06,-1.93758786684421E-20,1.99944788512827E-06,2.67304876167845E-05,1.49896309466781E-21,2.83575795096436E-05,0,0,0,0,0,0,package://chyPapa3/meshes/Link_hand_lf.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_hand_lf.STL,,chyHand-1,Origin_Joint_hand_arm_lf,基准轴hand_lf,Joint_hand_arm_lf,revolute,-0.13,0,-0.034011,3.1416,0,3.0138,Link_arm_lf,0,0,1,100,0,-1.5,1.5,,,,,,,,0
Link_shoulder_rf,-0.0962915704954283,0.0620236518344938,-0.0215728915869191,0,0,0,0.142407450848651,2.75635595359299E-05,-5.70580930190402E-08,8.77069719142034E-06,0.000176021146099793,-3.20645360767816E-09,0.000168884898886195,0,0,0,0,0,0,package://chyPapa3/meshes/Link_shoulder_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_shoulder_rf.STL,,chyArm11SLDPRT-4,,基准轴rf,Joint_shoulder_body_rf,continuous,-0.19592,-0.037579,-0.021664,-1.489,-1.2798,1.4925,base_link,-0.28602,-0.95822,0,100,0,-0.5,1.5,,,,,,,,0
Link_arm_rf,-0.121470593076782,0.000557870354713247,-0.0235728915869192,0,0,0,0.142407450848651,2.756355953593E-05,-5.70580930190669E-08,8.77069719142084E-06,0.000176021146099793,-3.20645360767924E-09,0.000168884898886195,0,0,0,0,0,0,package://chyPapa3/meshes/Link_arm_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_arm_rf.STL,,chyArm11SLDPRT-3,Origin_Joint_arm_shoulder_rf3,基准轴Armrf,Joint_arm_shoulder_rf,revolute,0.0090645,0.03602,0.068981,-3.1034,-0.043558,-1.0108,Link_shoulder_rf,0,0,-1,100,0,-1.5,1.5,,,,,,,,0
Link_hand_rf,0.0526382833749994,1.38777878078145E-17,0.0148609248737365,0,0,0,0.0420735853495988,4.63824751744344E-06,-1.09055491958991E-20,1.99944788512831E-06,2.67304876167844E-05,-2.34984345670738E-21,2.83575795096435E-05,0,0,0,0,0,0,package://chyPapa3/meshes/Link_hand_rf.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_hand_rf.STL,,chyHand-4,Origin_Joint_hand_arm_rf,基准轴hand_rf,Joint_hand_arm_rf,revolute,-0.16275,0.00056766,-0.032234,3.1416,0,2.6822,Link_arm_rf,0,0,1,100,0,-1.5,1.5,,,,,,,,0
Link_shoulder_le,0.00677563067209044,0.0103462547801396,-0.0125385666118627,0,0,0,0.0972345115037999,2.28240618340508E-05,-2.92665574145196E-07,-7.57120527244679E-07,2.13627240737563E-05,-8.22143297700772E-07,3.27513952111922E-05,0,0,0,0,0,0,package://chyPapa3/meshes/Link_shoulder_le.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_shoulder_le.STL,,chyShoulderLe-2,Origin_Joint_shoulder_body_le4,基准轴le,Joint_shoulder_body_le,revolute,-0.26492,0,-0.021664,-0.034518,0,1.5708,base_link,1,0,0,100,0,-0.5,1.5,,,,,,,,0
Link_arm_le,-0.112687515826778,-0.0230036690388469,-0.0235728915869191,0,0,0,0.142407450848651,2.75635595359299E-05,-5.70580930190226E-08,8.77069719142056E-06,0.000176021146099793,-3.20645360768185E-09,0.000168884898886195,0,0,0,0,0,0,package://chyPapa3/meshes/Link_arm_le.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://chyPapa3/meshes/Link_arm_le.STL,,chyArm11SLDPRT-1,Origin_Joint_arm_shoulder_le4,基准轴Armlf,Joint_arm_shoulder_le,revolute,-0.18543,-0.068876,-0.0026472,2.7954,-1.4362,1.9199,Link_shoulder_le,-0.18328,-0.0084218,-0.98302,100,0,-1.5,1.5,,,,,,,,0
